Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
496dd19eb20b72e9a4fd338c4ed9dea37dea6c46cd2a2294a3277880bf8279d8,2023-03,Dorset Police,Dorset Police,-1.974792,50.822165,On or near Furzehill,E01020398,East Dorset 005B,Investigation complete; no suspect identified
2ff2adc5a7f28d965fd43e05944a5345f8749a38afcf3a58c7402dbc7f0160db,2023-03,Dorset Police,Dorset Police,-1.909003,50.735327,On or near Sunridge Close,E01015387,Poole 009B,Investigation complete; no suspect identified
83c5d313d06c1a6e570a67f07c8ac2fe99da7236dd4ba7a27b436c6f3fc03702,2023-03,Dorset Police,Dorset Police,-2.470878,50.611704,On or near Wessex Road,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
2e9e8923b9e0d1785b2bf018f8e5b93f02015a3e5effffc6acb6bbac3e6ae831,2023-03,Dorset Police,Dorset Police,-1.871334,50.726965,On or near ,E01015286,Bournemouth 017C,Investigation complete; no suspect identified
0c4ffc857ba484ceb44bc9dff93e53c254830cb851c10e17b67069f1a8d40cb1,2023-03,Dorset Police,Dorset Police,-2.376706,50.958856,On or near Stalbridge Close,E01020434,North Dorset 004B,Investigation complete; no suspect identified
7a958963e5de214af2b1d7e15e33bcac9d497b3170290f7be0fac56ef55a98f7,2023-03,Dorset Police,Dorset Police,-1.878715,50.748564,On or near Lampton Gardens,E01015356,Bournemouth 009B,Investigation complete; no suspect identified
bc202095b22d888e4670e018928831a152aac942370eb41f5e8ef2ac7a635cde,2023-03,Dorset Police,Dorset Police,-1.852472,50.737005,On or near Queen's Park Road,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
cf001692f1b289df213755c7dba0d4a5aacff408f84e6bf3e9703abad6ccece6,2023-03,Dorset Police,Dorset Police,-1.854745,50.758150,On or near Sandford Close,E01015352,Bournemouth 004D,Investigation complete; no suspect identified
ef40c0898e88adc17d1b18c565359c4d95bc1f1a9ec8c50d6d2cc46eaa35d405,2023-03,Dorset Police,Dorset Police,-1.976295,50.797697,On or near ,E01020427,East Dorset 010B,Investigation complete; no suspect identified
475bab028da1bf50e6ca72c804651bb33e82fa17933905946d6ed3c9736cd277,2023-03,Dorset Police,Dorset Police,-1.878678,50.740803,On or near ,E01015375,Bournemouth 009D,Investigation complete; no suspect identified
5979d47a3d3162dbf86c5bdd10d508aa94e6ace2bb379698ac3f6b285e5a683a,2023-03,Dorset Police,Dorset Police,-2.886839,50.827186,On or near Tansee Hill,E01020535,West Dorset 005D,Investigation complete; no suspect identified
7aa50edf77d4a1671226a2ff8c21e6317d915d4e3bee66d964bfb646063ec66d,2023-03,Dorset Police,Dorset Police,-1.839702,50.753171,On or near ,E01015338,Bournemouth 008A,Investigation complete; no suspect identified
